Guess,Correct,Misplaced,SecretCode,Win,NumGuesses
"['6', '1', '1', '6']",0,1,4362,False,10
"['6', '6', '2', '3']",0,3,4362,False,10
"['5', '6', '4', '2']",1,2,4362,False,10
"['4', '5', '4', '5']",1,0,4362,False,10
"['2', '3', '1', '4']",1,2,4362,False,10
"['2', '3', '4', '5']",1,2,4362,False,10
"['5', '3', '6', '3']",2,0,4362,False,10
"['4', '6', '2', '4']",1,2,4362,False,10
"['1', '6', '1', '5']",0,1,4362,False,10
"['3', '6', '5', '2']",1,2,4362,False,10
"['4', '1', '3', '1']",0,0,6562,False,10
"['4', '4', '2', '5']",0,2,6562,False,10
"['6', '1', '3', '4']",1,0,6562,False,10
"['5', '4', '5', '4']",0,1,6562,False,10
"['3', '6', '2', '5']",0,3,6562,False,10
"['5', '3', '3', '6']",0,2,6562,False,10
"['1', '3', '6', '6']",1,1,6562,False,10
"['3', '6', '5', '6']",0,3,6562,False,10
"['1', '5', '4', '2']",2,0,6562,False,10
"['5', '5', '5', '5']",1,0,6562,False,10
"['6', '3', '4', '5']",2,0,2145,False,10
"['2', '4', '2', '6']",1,1,2145,False,10
"['5', '6', '6', '5']",1,0,2145,False,10
"['3', '1', '2', '2']",1,1,2145,False,10
"['3', '6', '2', '2']",0,1,2145,False,10
"['1', '4', '1', '6']",0,2,2145,False,10
"['2', '5', '1', '6']",1,2,2145,False,10
"['6', '3', '5', '2']",0,2,2145,False,10
"['5', '2', '6', '6']",0,2,2145,False,10
"['1', '5', '3', '5']",1,1,2145,False,10
"['1', '6', '2', '2']",1,1,3152,False,10
"['4', '1', '6', '4']",1,0,3152,False,10
"['4', '5', '5', '4']",1,0,3152,False,10
"['4', '2', '5', '3']",1,2,3152,False,10
"['4', '5', '5', '3']",1,1,3152,False,10
"['1', '3', '4', '6']",0,2,3152,False,10
"['3', '5', '4', '1']",1,2,3152,False,10
"['2', '6', '2', '2']",1,0,3152,False,10
"['6', '4', '3', '2']",1,1,3152,False,10
"['6', '6', '4', '5']",0,1,3152,False,10
"['5', '4', '2', '3']",0,3,2365,False,10
"['6', '3', '4', '5']",2,1,2365,False,10
"['4', '1', '4', '1']",0,0,2365,False,10
"['4', '1', '3', '3']",0,1,2365,False,10
"['5', '6', '1', '2']",0,3,2365,False,10
"['2', '4', '2', '4']",1,0,2365,False,10
"['6', '5', '2', '5']",1,2,2365,False,10
"['4', '2', '3', '1']",0,2,2365,False,10
"['4', '1', '5', '4']",0,1,2365,False,10
"['4', '6', '2', '2']",0,2,2365,False,10
"['4', '3', '6', '2']",0,1,6556,False,10
"['5', '3', '6', '5']",0,3,6556,False,10
"['2', '1', '1', '5']",0,1,6556,False,10
"['4', '2', '3', '3']",0,0,6556,False,10
"['1', '5', '3', '2']",1,0,6556,False,10
"['2', '3', '6', '4']",0,1,6556,False,10
"['1', '5', '4', '6']",2,0,6556,False,10
"['2', '3', '6', '1']",0,1,6556,False,10
"['5', '4', '6', '6']",1,2,6556,False,10
"['6', '3', '3', '2']",1,0,6556,False,10
"['6', '4', '3', '2']",1,1,1136,False,10
"['2', '5', '4', '3']",0,1,1136,False,10
"['4', '5', '5', '6']",1,0,1136,False,10
"['2', '1', '1', '2']",1,1,1136,False,10
"['4', '6', '3', '6']",2,0,1136,False,10
"['2', '4', '6', '6']",1,0,1136,False,10
"['3', '1', '4', '1']",1,2,1136,False,10
"['2', '4', '5', '3']",0,1,1136,False,10
"['4', '5', '6', '5']",0,1,1136,False,10
"['1', '5', '6', '6']",2,0,1136,False,10
"['1', '5', '1', '3']",2,0,1211,False,10
"['1', '1', '2', '5']",1,2,1211,False,10
"['6', '3', '6', '3']",0,0,1211,False,10
"['6', '1', '4', '4']",0,1,1211,False,10
"['1', '1', '3', '2']",1,2,1211,False,10
"['6', '6', '5', '4']",0,0,1211,False,10
"['1', '1', '5', '5']",1,1,1211,False,10
"['5', '2', '2', '5']",1,0,1211,False,10
"['1', '4', '2', '1']",2,1,1211,False,10
"['3', '3', '5', '4']",0,0,1211,False,10
"['5', '3', '6', '5']",1,1,5254,False,10
"['6', '1', '2', '6']",0,1,5254,False,10
"['4', '5', '3', '5']",0,3,5254,False,10
"['3', '2', '4', '6']",1,1,5254,False,10
"['6', '3', '1', '5']",0,1,5254,False,10
"['4', '5', '3', '2']",0,3,5254,False,10
"['6', '2', '4', '2']",1,1,5254,False,10
"['5', '4', '4', '4']",2,0,5254,False,10
"['1', '3', '4', '2']",0,2,5254,False,10
"['4', '2', '6', '3']",1,1,5254,False,10
"['2', '1', '2', '2']",0,1,4451,False,10
"['6', '2', '6', '3']",0,0,4451,False,10
"['3', '1', '3', '4']",0,2,4451,False,10
"['5', '1', '4', '1']",1,2,4451,False,10
"['1', '2', '3', '4']",0,2,4451,False,10
"['1', '2', '2', '3']",0,1,4451,False,10
"['6', '5', '3', '3']",0,1,4451,False,10
"['3', '6', '5', '5']",1,0,4451,False,10
"['6', '6', '1', '2']",0,1,4451,False,10
"['2', '4', '1', '5']",1,2,4451,False,10
"['5', '6', '2', '3']",1,2,2263,False,10
"['1', '6', '1', '2']",0,2,2263,False,10
"['6', '1', '6', '5']",1,0,2263,False,10
"['5', '6', '3', '6']",0,2,2263,False,10
"['2', '1', '5', '2']",1,1,2263,False,10
"['2', '6', '1', '2']",1,2,2263,False,10
"['5', '4', '6', '4']",1,0,2263,False,10
"['6', '2', '5', '5']",1,1,2263,False,10
"['1', '2', '4', '1']",1,0,2263,False,10
"['6', '1', '4', '5']",0,1,2263,False,10
"['3', '1', '5', '2']",0,2,4533,False,10
"['2', '6', '4', '4']",0,1,4533,False,10
"['3', '2', '2', '3']",1,1,4533,False,10
"['6', '6', '4', '3']",1,1,4533,False,10
"['1', '2', '4', '1']",0,1,4533,False,10
"['1', '6', '4', '4']",0,1,4533,False,10
"['4', '4', '1', '4']",1,0,4533,False,10
"['6', '1', '2', '3']",1,0,4533,False,10
"['4', '6', '4', '5']",1,1,4533,False,10
"['4', '4', '4', '2']",1,0,4533,False,10
"['4', '4', '2', '1']",0,2,3216,False,10
"['1', '2', '5', '3']",1,2,3216,False,10
"['3', '1', '1', '1']",2,0,3216,False,10
"['5', '1', '1', '6']",2,0,3216,False,10
"['1', '2', '5', '1']",1,1,3216,False,10
"['4', '2', '3', '3']",1,1,3216,False,10
"['3', '6', '4', '3']",1,1,3216,False,10
"['2', '5', '2', '2']",0,1,3216,False,10
"['5', '5', '5', '3']",0,1,3216,False,10
"['6', '3', '5', '4']",0,2,3216,False,10
"['6', '3', '1', '6']",0,1,4434,False,10
"['6', '1', '3', '6']",1,0,4434,False,10
"['1', '1', '4', '6']",0,1,4434,False,10
"['5', '2', '3', '5']",1,0,4434,False,10
"['4', '6', '2', '6']",1,0,4434,False,10
"['3', '6', '6', '6']",0,1,4434,False,10
"['6', '2', '4', '4']",1,1,4434,False,10
"['3', '6', '3', '5']",1,0,4434,False,10
"['3', '4', '6', '6']",1,1,4434,False,10
"['3', '6', '1', '3']",0,1,4434,False,10
"['2', '5', '6', '6']",0,2,1653,False,10
"['3', '4', '6', '4']",0,2,1653,False,10
"['6', '6', '2', '4']",1,0,1653,False,10
"['6', '3', '3', '4']",0,2,1653,False,10
"['1', '6', '5', '4']",3,0,1653,False,10
"['6', '5', '2', '4']",0,2,1653,False,10
"['3', '2', '6', '1']",0,3,1653,False,10
"['5', '3', '6', '4']",0,3,1653,False,10
"['4', '4', '6', '5']",0,2,1653,False,10
"['1', '1', '4', '3']",2,0,1653,False,10
"['2', '3', '1', '2']",0,1,1144,False,10
"['1', '2', '1', '3']",1,1,1144,False,10
"['2', '5', '3', '3']",0,0,1144,False,10
"['3', '6', '2', '2']",0,0,1144,False,10
"['2', '2', '3', '2']",0,0,1144,False,10
"['5', '6', '3', '2']",0,0,1144,False,10
"['2', '4', '4', '5']",1,1,1144,False,10
"['1', '3', '1', '4']",2,1,1144,False,10
"['5', '4', '5', '4']",1,1,1144,False,10
"['5', '5', '3', '1']",0,1,1144,False,10
"['6', '5', '3', '1']",0,2,2143,False,10
"['6', '1', '3', '6']",1,1,2143,False,10
"['6', '4', '4', '4']",1,0,2143,False,10
"['1', '5', '5', '6']",0,1,2143,False,10
"['3', '2', '6', '4']",0,3,2143,False,10
"['1', '3', '3', '2']",0,3,2143,False,10
"['1', '5', '3', '4']",0,3,2143,False,10
"['6', '6', '6', '5']",0,0,2143,False,10
"['6', '1', '1', '6']",1,0,2143,False,10
"['2', '2', '4', '2']",2,0,2143,False,10
"['3', '3', '3', '4']",0,1,5141,False,10
